Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,11,,291,FrRnd,2,Braves,N,Phil Stidham (minors),RHP,-0.5,5,0,0,,,5,0,0,24.92,3.69,0,4Yr,University of Arkansas (Fayetteville AR)
1990,11,,298,FrRnd,9,Indians,Y,Carl Johnson (minors),RHP,,,,,,,,,,,,,JC,Lassen College (Susanville CA)
1990,11,,300,FrRnd,11,Yankees,Y,Rich Hines (minors),RHP,,,,,,,,,,,,,4Yr,University of Mississippi (Oxford MS)
1990,11,,302,FrRnd,13,Twins,Y,Mark Swope (minors),RHP,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
1990,11,,304,FrRnd,15,Brewers,Y,Brian Souza (minors),RHP,,,,,,,,,,,,,4Yr,University of Hawaii at Manoa (Honolulu HI)
1990,11,,308,FrRnd,19,Red Sox,Y,Terry Powers (minors),RHP,,,,,,,,,,,,,JC,Volunteer State Community College (Gallatin TN)
1990,11,,309,FrRnd,20,Padres,N,Jay Powell (minors),RHP,3.1,513,12,0,0.167,0.333,512,36,23,4.17,1.5,22,HS,West Lauderdale HS (Collinsville MS)
1990,11,,311,FrRnd,22,Giants,Y,Kurt Peltzer (minors),LHP,,,,,,,,,,,,,4Yr,University of Wisconsin at Madison (Madison WI)
1990,11,,313,FrRnd,24,Cubs,Y,Mike Young (minors),RHP,,,,,,,,,,,,,4Yr,Anderson University (Anderson IN)
1990,11,,316,FrRnd,27,Athletics,Y,Mark Craft (minors),RHP,,,,,,,,,,,,,4Yr,Virginia Military Institute (Lexington VA)
1990,12,,317,FrRnd,1,Miami Miracle,Y,Rod Nettnin (minors),P,,,,,,,,,,,,,4Yr,University of Nevada-Reno (Reno NV)
1990,12,,318,FrRnd,2,Braves,Y,Brian Bark (minors),LHP,0.1,3,0,0,,,3,0,0,0,1.29,0,4Yr,North Carolina State University (Raleigh NC)
1990,12,,320,FrRnd,4,Phillies,Y,Chad Anderson (minors),RHP,,,,,,,,,,,,,HS,Roseburg HS (Roseburg OR)
1990,12,,323,FrRnd,7,Mariners,N,Luis Victoria (minors),RHP,,,,,,,,,,,,,,
1990,12,,324,FrRnd,8,Reds,Y,John Roper (minors),RHP,0.1,35,62,0,0.177,0.384,35,8,7,5.35,1.49,0,HS,Hoke County HS (Raeford NC)
1990,12,,325,FrRnd,9,Indians,Y,Craig Sides (minors),RHP,,,,,,,,,,,,,JC,Jefferson Davis Community College (Brewton AL)
1990,12,,327,FrRnd,11,Yankees,Y,Ron Frazier (minors),RHP,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
1990,12,,328,FrRnd,12,Expos,Y,Bob Baxter (minors),LHP,,,,,,,,,,,,,4Yr,Harvard University (Cambridge MA)
